,Adolescent fertility rate (women aged 15-19 years),,,,,,,,,,,,,,,,,,,,,,"GII: Gender Inequality Index, value",,,,,,,,,,,,,,,,,,,,,,"Labour force participation rate, female-male ratio",,,,,,,,,,,,,,,,,,,,,,"Population with at least secondary education, female/male ratio",,,,,,,,,,,,,,,,,,,,,,Maternal mortality ratio,,,,,,,,,,,,,,,,,,,,,,"Shares in parliament, female-male ratio",,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,a,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,
Country,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,,,,,,,,,,,,,,,,,,,,,,,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,
Benin,..,,..,,..,,..,,123.3,,117.4,,..,,..,,111.8,,..,,111.8,,..,,..,,..,,0.690,,..,,0.653,,..,,..,,..,,..,,0.634,,0.652,,0.641,,0.639,,0.691,,0.785,,0.840,,0.843,,0.845,,0.847,,0.866,,..,,0.372,,0.378,,0.339,,0.369,,0.406,,0.414,,..,,..,,..,,..,,..,,..,,..,,790,,690,,560,,460,,..,,..,,410,,..,,..,,..,,..,,..,,..,,..,,0.078,,..,,..,,0.122,,0.122,,0.122,
Bhutan,..,,..,,..,,..,,75.0,,58.3,,..,,..,,38.3,,..,,38.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.495,,0.834,,0.750,,0.672,,0.515,,0.512,,0.666,,0.693,,0.718,,0.741,,0.757,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,940,,650,,420,,260,,..,,..,,200,,..,,..,,..,,..,,..,,..,,..,,0.103,,..,,..,,0.161,,0.161,,0.161,
Bolivia (Plurinational State of),..,,..,,..,,..,,86.9,,84.4,,..,,..,,78.2,,..,,78.2,,..,,..,,..,,0.788,,0.580,,0.537,,..,,..,,..,,..,,0.476,,0.654,,0.703,,0.720,,0.722,,0.729,,0.744,,0.747,,0.757,,0.758,,0.757,,..,,0.621,,0.646,,0.702,,0.721,,0.722,,0.761,,..,,..,,..,,..,,..,,..,,..,,510,,410,,300,,220,,..,,..,,180,,..,,..,,..,,..,,..,,..,,0.113,,0.172,,..,,..,,0.172,,0.361,,0.431,
Bosnia and Herzegovina,..,,..,,..,,..,,27.0,,18.2,,..,,..,,15.9,,..,,15.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.816,,0.797,,0.790,,0.796,,0.810,,0.806,,0.805,,0.804,,0.803,,0.805,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18,,15,,11,,10,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,0.140,,..,,..,,0.140,,0.213,,0.187,
Botswana,..,,..,,..,,..,,73.3,,61.2,,..,,..,,52.1,,..,,52.1,,..,,..,,..,,0.504,,0.522,,0.525,,..,,..,,..,,..,,0.507,,0.780,,0.769,,0.780,,0.823,,0.856,,0.878,,0.883,,0.888,,0.893,,0.893,,..,,0.528,,0.824,,0.990,,0.992,,0.996,,0.988,,..,,..,,..,,..,,..,,..,,..,,83,,130,,310,,280,,..,,..,,190,,..,,..,,..,,..,,..,,..,,0.205,,0.125,,..,,..,,0.125,,0.086,,0.086,
Brazil,..,,..,,..,,..,,89.7,,86.0,,..,,..,,75.6,,..,,75.6,,..,,..,,..,,0.523,,0.514,,0.471,,..,,..,,..,,..,,0.449,,0.450,,0.484,,0.524,,0.636,,0.667,,0.712,,0.720,,0.720,,0.730,,0.734,,..,,0.903,,0.974,,1.085,,1.111,,1.086,,1.040,,..,,..,,..,,..,,..,,..,,..,,120,,98,,79,,64,,..,,..,,58,,..,,..,,..,,..,,..,,..,,0.063,,0.100,,..,,..,,0.104,,0.102,,0.106,
Brunei Darussalam,..,,..,,..,,..,,28.8,,26.2,,..,,..,,25.0,,..,,25.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.367,,0.449,,0.547,,0.623,,0.700,,0.765,,0.779,,0.792,,0.803,,0.798,,..,,0.726,,0.807,,0.846,,0.985,,1.046,,1.060,,..,,..,,..,,..,,..,,..,,..,,28,,25,,24,,23,,..,,..,,21,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Bulgaria,..,,..,,..,,..,,50.6,,44.8,,..,,..,,42.2,,..,,42.2,,..,,..,,..,,0.338,,..,,0.233,,..,,..,,..,,..,,0.245,,0.876,,0.867,,0.876,,0.872,,0.832,,0.796,,0.809,,0.807,,0.793,,0.787,,..,,0.935,,0.946,,0.937,,0.949,,0.953,,0.968,,..,,..,,..,,..,,..,,..,,..,,24,,23,,28,,14,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,0.421,,..,,..,,0.277,,0.263,,0.263,
Burkina Faso,..,,..,,..,,..,,136.2,,130.4,,..,,..,,130.9,,..,,130.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.596,,0.837,,0.826,,0.847,,0.852,,0.853,,0.860,,0.859,,0.857,,0.855,,0.861,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,770,,730,,650,,600,,..,,..,,560,,..,,..,,..,,..,,..,,..,,0.117,,0.133,,..,,..,,0.181,,0.181,,0.181,
Burundi,..,,..,,..,,..,,40.1,,29.0,,..,,..,,18.6,,..,,18.6,,..,,..,,..,,..,,0.588,,0.522,,..,,..,,..,,..,,0.478,,1.015,,1.015,,1.005,,0.999,,1.005,,1.029,,1.032,,1.035,,1.036,,1.040,,..,,0.349,,0.415,,0.391,,0.441,,0.483,,0.502,,..,,..,,..,,..,,..,,..,,..,,"1,200",,"1,200",,"1,200",,"1,100",,..,,..,,970,,..,,..,,..,,..,,..,,..,,0.168,,0.465,,..,,..,,0.465,,0.465,,0.564,
