,"Adult literacy rate, both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,Combined gross enrolment in education (both sexes),,,,,,,,,,,,,,,,,,,,,,,,,,HDI: Expected Years of Schooling (of children),,,,,,,,,,,,,,,,,,,,,,,,,,HDI: Mean years of schooling (of adults),,,,,,,,,,,,,,,,,,,,,,,,,,Public expenditure on education (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,a,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,b,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,c,2007,c,2008,c,2009,c,2010,,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,a
Country,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),
Benin,..,,..,,..,,..,,..,,..,,..,,..,,..,,41.7,,..,,..,,41.7,,25.1,,27.6,,22.2,d,30.1,,44.1,d,56.7,d,..,,..,,..,,..,,..,,..,,56.7,d,4.6,,5.7,,5.7,,6.5,,7.4,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,0.6,,1.1,,1.6,,2.2,,2.5,,2.9,,3.0,,3.1,,3.1,,3.2,,3.3,,3.3,b,3.3,,..,,..,,..,,..,,3.3,,4.1,,3.8,,3.5,,..,,..,,..,,..,,3.5,
Bhutan,..,,..,,..,,..,,..,,52.8,,..,,..,,..,,..,,..,,..,,52.8,,21.1,,..,,..,,..,,50.2,d,54.3,d,56.5,d,..,,60.5,,..,,..,,..,,60.5,d,4.1,,4.5,,5.5,,6.5,,7.8,,9.7,,10.2,,10.6,,11.0,,11.0,,11.0,,11.0,,11.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.3,,2.3,"b,f",2.3,,..,,..,,..,,..,,5.8,,7.2,,..,,..,,4.8,,..,,..,,..,,4.8,
Bolivia (Plurinational State of),..,,..,,..,,..,,..,,..,,..,,90.7,,90.7,,..,,..,,..,,90.7,,..,,..,,..,,..,,83.4,d,..,,..,,82.4,d,..,,..,,..,,..,,82.4,d,12.8,,12.8,,12.8,,12.8,,13.7,,14.0,,13.9,,13.7,,13.7,,13.7,,13.7,,13.7,,13.7,,4.5,,5.3,,6.4,,7.1,,7.4,,8.3,,8.5,,8.7,,8.8,,9.0,,9.2,,9.2,b,9.2,,4.6,,1.8,,..,,..,,5.5,,..,,6.3,,..,,..,,..,,..,,..,,6.3,
Bosnia and Herzegovina,..,,..,,..,,..,,96.7,,..,,..,,..,,..,,97.8,,..,,..,,97.8,,..,,..,,..,,..,,..,,..,,..,,73.8,,..,,75.6,,..,,..,,75.6,j,13.2,,13.2,,13.2,,13.2,,13.2,,13.2,,13.2,,13.2,,13.4,,13.6,,13.6,,13.6,,13.6,,..,,..,,..,,..,,..,,8.7,,8.7,,8.7,,8.7,,8.7,,8.7,,8.7,"b,f",8.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Botswana,..,,..,,..,,..,,..,,..,,..,,..,,..,,84.1,,..,,..,,84.1,,42.9,,49.2,,..,,49.7,,72.2,d,72.8,,72.9,,71.6,,..,,..,,..,,..,,71.6,d,7.4,,8.6,,10.1,,10.8,,12.0,,12.3,,12.4,,12.2,,12.2,,12.2,,12.2,,12.2,,12.2,,2.3,,3.8,,5.5,,6.7,,7.6,,8.3,,8.4,,8.5,,8.7,,8.8,,8.9,,8.9,b,8.9,,5.5,,5.7,,..,,..,,..,,9.5,,..,,8.0,,7.8,,8.9,,..,,..,,8.9,
Brazil,74.6,,..,,..,,..,,86.4,,..,,89.6,,90.0,,90.0,,..,,..,,..,,90.0,,39.6,,..,,42.8,,..,,90.2,d,87.2,,..,,85.1,,..,,..,,..,,..,,85.1,,14.1,,14.1,,14.1,,14.1,,14.5,,14.2,,14.0,,13.8,,13.8,,13.8,,13.8,,13.8,,13.8,,2.6,,3.2,,3.8,,4.6,,5.6,,6.6,,6.7,,6.8,,6.9,,7.1,,7.2,,7.2,b,7.2,,3.5,,3.6,,..,,..,,4.0,,4.5,,5.0,,5.1,,..,,..,,..,,..,,5.1,
Brunei Darussalam,..,,..,,..,,..,,..,,..,,..,,..,,..,,95.3,,..,,..,,95.3,,39.1,,..,,..,,..,,74.8,d,77.6,,78.6,,78.2,,77.7,,78.2,,..,,..,,78.2,,11.0,,11.5,,12.3,,13.0,,13.4,,13.9,,14.1,,14.0,,14.0,,14.1,,14.1,,14.1,,14.1,,6.1,,6.6,,7.5,,8.0,,8.2,,8.4,,8.4,,8.5,,8.5,,8.5,,8.6,,8.6,b,8.6,,1.2,,..,,..,,..,,3.7,,..,,..,,..,,..,,..,,..,,..,,3.7,
Bulgaria,..,,..,,..,,..,,..,,..,,..,,..,,..,,98.3,,..,,..,,98.3,,31.2,,33.8,,31.5,,34.4,,79.4,,76.4,,76.6,,77.9,,77.7,,78.1,,..,,..,,78.1,,11.2,,11.8,,12.2,,12.1,,13.0,,13.4,,13.4,,13.7,,13.6,,13.7,,13.7,,13.7,,13.7,,8.0,,8.5,,8.9,,9.3,,9.5,,10.0,,10.1,,10.2,,10.4,,10.5,,10.6,,10.6,"b,h",10.6,,..,,..,,..,,..,,..,,4.5,,4.2,,4.1,,..,,..,,..,,..,,4.1,
Burkina Faso,..,,..,,..,,..,,..,,23.6,,..,,28.7,,..,,..,,..,,..,,28.7,,6.8,,10.2,,13.3,,15.9,,22.0,,28.9,,30.7,,33.4,,36.6,,39.1,,..,,..,,39.1,,1.2,,1.8,,2.5,,3.0,,3.5,,4.6,,4.9,,5.3,,5.8,,6.3,,6.3,,6.3,,6.3,,..,,..,,..,,..,,..,,1.3,,1.3,,1.3,,1.3,,1.3,,1.3,,1.3,"b,f",1.3,,2.0,,1.8,,..,,..,,..,,4.5,,4.5,,4.6,,..,,..,,..,,..,,4.6,
Burundi,..,,..,,37.4,,..,,59.3,,..,,..,,..,,..,,66.6,,..,,..,,66.6,,9.5,,18.1,d,27.8,,..,,..,,38.3,d,46.9,,51.4,,54.9,,59.4,,..,,..,,59.4,,1.7,,3.1,,4.6,,4.9,,5.3,,6.4,,7.9,,8.9,,9.6,,10.5,,10.5,,10.5,,10.5,,1.1,,1.3,,1.4,,1.6,,1.8,,2.3,,2.4,,2.4,,2.5,,2.6,,2.7,,2.7,b,2.7,,..,,2.5,,..,,..,,3.2,,5.1,,..,,..,,7.2,,8.3,,..,,..,,8.3,
