,IHDI: Income Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted HDI value,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted education index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted income index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted life expectancy index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in education,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in income,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in life expectancy,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,38.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.274,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.212,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.286,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.340,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.1,,42.0,,44.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19.2,e,23.6,,19.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,39.7,,40.3,,39.7,
Bhutan,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,46.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.185,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.565,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25.1,,..,,25.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,27.5,,24.1,,27.5,
Bolivia (Plurinational State of),..,,..,,..,,..,,..,,..,,..,,57.3,,..,,..,,..,,..,,57.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.437,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.542,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.280,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.550,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,28.7,,27.6,,28.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,54.2,f,47.2,,54.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,27.2,,25.1,,27.2,
Bosnia and Herzegovina,..,,..,,..,,..,,..,,..,,..,,36.2,,..,,..,,..,,..,,36.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.649,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.685,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.502,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.794,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19.4,,5.2,,19.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,31.1,e,19.3,,31.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.2,,9.6,,9.2,
Botswana,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.396,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25.9,,24.3,,25.9,
Brazil,..,,59.0,,60.6,,59.2,,..,,..,,..,,..,,..,,53.9,,..,,..,,53.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.519,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.492,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.392,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.723,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25.7,,25.7,,25.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,37.6,f,40.7,,37.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.6,,14.4,,16.6,
Brunei Darussalam,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.862,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.4,,5.8,,5.4,
Bulgaria,..,,..,,..,,31.1,,..,,..,,..,,45.3,,..,,..,,..,,..,,45.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.683,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.754,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.543,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.776,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.1,,5.9,,8.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.1,e,19.9,,16.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.4,,7.8,,9.4,
Burkina Faso,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,39.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.215,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.117,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.260,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.326,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,37.3,,37.3,,37.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25.3,e,25.3,,25.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.5,,41.7,,44.5,
Burundi,..,,..,,..,,..,,..,,..,,33.3,,..,,..,,..,,..,,..,,33.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.261,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,36.3,,..,,36.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,24.9,e,..,,24.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,47.8,,45.6,,47.8,
