,"Population, female (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, male (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, total both sexes (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, urban (%)",,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,a,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,a,2011,a
Country,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),
Burkina Faso,"3,668.43",,"4,168.05",,"4,756.41",,"5,442.37",,"6,239.34",,"7,177.00",,"7,385.76",,"7,602.17",,"7,826.19",,"8,057.65",,"8,296.44",,"8,542.51",,"3,543.66",,"4,001.74",,"4,567.59",,"5,249.77",,"6,054.67",,"7,021.46",,"7,236.44",,"7,458.95",,"7,689.07",,"7,926.83",,"8,172.27",,"8,425.34",,"7,212.1",,"8,169.8",,"9,324.0",,"10,692.1",,"12,294.0",,"14,198.5",,"14,622.2",,"15,061.1",,"15,515.3",,"15,984.5",,"16,468.7",,"16,967.8",,8.8,,12.3,,13.8,,15.1,,17.8,,21.5,,22.3,,23.2,,24.0,,24.8,,25.7,,26.5,
Burundi,"2,142.60",,"2,499.89",,"2,872.11",,"3,123.68",,"3,282.74",,"3,711.72",,"3,821.10",,"3,936.03",,"4,052.33",,"4,164.72",,"4,269.47",,"4,364.49",,"1,987.40",,"2,350.71",,"2,729.61",,"2,963.07",,"3,091.61",,"3,539.71",,"3,653.26",,"3,771.75",,"3,891.06",,"4,006.13",,"4,113.38",,"4,210.68",,"4,130.0",,"4,850.6",,"5,601.7",,"6,086.8",,"6,374.3",,"7,251.4",,"7,474.4",,"7,707.8",,"7,943.4",,"8,170.9",,"8,382.8",,"8,575.2",,4.3,,5.2,,6.3,,7.2,,8.3,,9.5,,9.8,,10.1,,10.4,,10.7,,11.0,,11.3,
Cambodia,"3,502.48",,"4,193.41",,"4,995.63",,"5,796.82",,"6,409.76",,"6,840.05",,"6,916.56",,"6,991.85",,"7,067.06",,"7,143.38",,"7,221.67",,"7,302.54",,"3,003.21",,"3,726.39",,"4,536.30",,"5,372.41",,"6,037.19",,"6,517.53",,"6,599.32",,"6,678.01",,"6,755.59",,"6,834.52",,"6,916.58",,"7,002.65",,"6,505.7",,"7,919.8",,"9,531.9",,"11,169.2",,"12,446.9",,"13,357.6",,"13,515.9",,"13,669.9",,"13,822.6",,"13,977.9",,"14,138.3",,"14,305.2",,9.0,,12.6,,12.6,,14.2,,16.9,,18.8,,19.0,,19.3,,19.5,,19.8,,20.1,,20.4,
Cameroon,"4,599.42",,"5,302.22",,"6,131.14",,"7,008.60",,"7,873.92",,"8,803.55",,"8,998.98",,"9,197.75",,"9,400.08",,"9,606.23",,"9,816.34",,"10,030.43",,"4,510.31",,"5,216.63",,"6,049.68",,"6,931.73",,"7,804.35",,"8,750.04",,"8,949.41",,"9,152.27",,"9,358.70",,"9,568.79",,"9,782.55",,"9,999.93",,"9,109.7",,"10,518.9",,"12,180.8",,"13,940.3",,"15,678.3",,"17,553.6",,"17,948.4",,"18,350.0",,"18,758.8",,"19,175.0",,"19,598.9",,"20,030.4",,31.9,,36.2,,40.7,,45.3,,49.9,,54.3,,55.1,,56.0,,56.8,,57.6,,58.4,,59.2,
Canada,"12,305.31",,"13,011.61",,"13,967.41",,"14,798.78",,"15,483.71",,"16,296.75",,"16,467.87",,"16,640.41",,"16,812.55",,"16,982.09",,"17,147.46",,"17,307.74",,"12,210.97",,"12,830.98",,"13,733.45",,"14,503.31",,"15,183.65",,"15,986.67",,"16,160.10",,"16,336.93",,"16,515.41",,"16,693.36",,"16,869.13",,"17,041.82",,"24,516.3",,"25,842.6",,"27,700.9",,"29,302.1",,"30,667.4",,"32,283.4",,"32,628.0",,"32,977.3",,"33,328.0",,"33,675.4",,"34,016.6",,"34,349.6",,75.7,,76.4,,76.6,,77.7,,79.5,,80.1,,80.2,,80.3,,80.4,,80.5,,80.6,,80.7,
Cape Verde,159.56,,173.00,,181.94,,204.93,,225.96,,241.38,,243.55,,245.43,,247.13,,248.80,,250.55,,252.42,,140.49,,155.48,,166.23,,190.01,,211.28,,231.50,,234.71,,237.59,,240.24,,242.83,,245.45,,248.16,,300.0,,328.5,,348.2,,394.9,,437.2,,472.9,,478.3,,483.0,,487.4,,491.6,,496.0,,500.6,,23.5,,31.5,,44.1,,48.8,,53.4,,57.4,,58.2,,58.9,,59.7,,60.4,,61.1,,61.8,
Central African Republic,"1,156.63",,"1,336.19",,"1,493.68",,"1,693.48",,"1,882.47",,"2,041.04",,"2,075.92",,"2,112.70",,"2,151.31",,"2,191.53",,"2,233.19",,"2,276.34",,"1,117.00",,"1,290.45",,"1,441.10",,"1,634.23",,"1,819.13",,"1,976.84",,"2,011.61",,"2,048.24",,"2,086.66",,"2,126.60",,"2,167.86",,"2,210.50",,"2,273.6",,"2,626.6",,"2,934.8",,"3,327.7",,"3,701.6",,"4,017.9",,"4,087.5",,"4,160.9",,"4,238.0",,"4,318.1",,"4,401.1",,"4,486.8",,33.9,,35.5,,36.8,,37.2,,37.6,,38.1,,38.2,,38.4,,38.5,,38.7,,38.9,,39.2,
Chad,"2,312.11",,"2,611.08",,"3,041.44",,"3,534.09",,"4,145.22",,"4,925.92",,"5,074.67",,"5,218.17",,"5,358.75",,"5,500.08",,"5,644.88",,"5,793.86",,"2,241.98",,"2,540.26",,"2,969.79",,"3,464.02",,"4,077.11",,"4,859.99",,"5,009.42",,"5,153.67",,"5,295.01",,"5,437.01",,"5,582.33",,"5,731.64",,"4,554.1",,"5,151.3",,"6,011.2",,"6,998.1",,"8,222.3",,"9,785.9",,"10,084.1",,"10,371.8",,"10,653.8",,"10,937.1",,"11,227.2",,"11,525.5",,18.8,,19.8,,20.8,,21.9,,23.4,,25.3,,25.7,,26.1,,26.6,,27.1,,27.6,,28.2,
Chile,"5,665.52",,"6,133.94",,"6,674.50",,"7,284.83",,"7,793.40",,"8,238.62",,"8,323.29",,"8,406.93",,"8,489.57",,"8,571.21",,"8,651.82",,"8,731.45",,"5,513.29",,"5,973.29",,"6,513.33",,"7,124.58",,"7,626.42",,"8,063.11",,"8,145.38",,"8,226.32",,"8,306.02",,"8,384.53",,"8,461.86",,"8,538.08",,"11,178.8",,"12,107.2",,"13,187.8",,"14,409.4",,"15,419.8",,"16,301.7",,"16,468.7",,"16,633.3",,"16,795.6",,"16,955.7",,"17,113.7",,"17,269.5",,81.2,,82.6,,83.3,,84.4,,85.9,,87.6,,87.9,,88.2,,88.5,,88.8,,89.0,,89.2,
China,"475,891.76",,"511,674.05",,"554,127.45",,"586,258.50",,"611,697.94",,"629,306.45",,"632,526.29",,"635,720.10",,"638,879.05",,"641,977.77",,"644,994.40",,"647,933.95",,"507,278.88",,"544,905.17",,"591,067.78",,"627,728.12",,"657,418.80",,"678,287.04",,"682,055.12",,"685,761.84",,"689,396.47",,"692,931.05",,"696,340.75",,"699,631.38",,"983,170.6",c,"1,056,579.2",c,"1,145,195.2",c,"1,213,986.6",c,"1,269,116.7",c,"1,307,593.5",c,"1,314,581.4",c,"1,321,481.9",c,"1,328,275.5",c,"1,334,908.8",c,"1,341,335.2",c,"1,347,565.3",c,19.4,d,22.9,d,26.4,d,30.9,d,35.8,d,42.5,d,43.6,,44.4,,45.3,,46.1,,47.0,d,47.8,e
