,"Population, female (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, male (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, total both sexes (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, urban (%)",,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,a,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,a,2011,a
Country,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),
Indonesia,"75,501.48",,"84,081.56",,"92,145.41",,"99,669.59",,"106,721.60",,"113,784.58",,"115,125.19",,"116,433.49",,"117,716.64",,"118,985.76",,"120,248.50",,"121,506.68",,"75,318.57",,"84,037.65",,"92,200.53",,"99,730.75",,"106,673.81",,"113,518.59",,"114,793.35",,"116,028.26",,"117,234.52",,"118,428.74",,"119,622.44",,"120,818.96",,"150,820.0",,"168,119.2",,"184,345.9",,"199,400.3",,"213,395.4",,"227,303.2",,"229,918.5",,"232,461.7",,"234,951.2",,"237,414.5",,"239,870.9",,"242,325.6",,22.1,,26.1,,30.6,,35.6,,42.0,,43.1,,43.3,,43.5,,43.7,,44.0,,44.3,,44.6,
Iran (Islamic Republic of),"18,578.15",,"22,828.64",,"27,163.68",,"29,654.56",,"32,418.62",,"34,226.15",,"34,631.61",,"35,068.35",,"35,525.30",,"35,984.49",,"36,432.41",,"36,865.93",,"19,998.39",,"23,668.59",,"27,706.90",,"30,102.56",,"32,923.70",,"35,505.85",,"35,950.48",,"36,367.15",,"36,763.99",,"37,152.66",,"37,541.22",,"37,932.67",,"38,576.5",,"46,497.2",,"54,870.6",,"59,757.1",,"65,342.3",,"69,732.0",,"70,582.1",,"71,435.5",,"72,289.3",,"73,137.1",,"73,973.6",,"74,798.6",,49.7,,53.4,,56.3,,60.2,,64.2,,67.6,,68.2,,68.9,,69.5,,70.2,,70.8,,71.3,
Iraq,"6,735.79",,"7,747.54",,"8,753.56",,"10,186.68",,"11,935.83",,"13,638.85",,"14,026.36",,"14,435.57",,"14,866.10",,"15,316.34",,"15,784.74",,"16,272.07",,"7,007.74",,"7,729.69",,"8,620.21",,"10,101.55",,"11,921.63",,"13,720.62",,"14,114.64",,"14,525.01",,"14,955.03",,"15,408.27",,"15,886.85",,"16,392.88",,"13,743.5",,"15,477.2",,"17,373.8",,"20,288.2",,"23,857.5",,"27,359.5",,"28,141.0",,"28,960.6",,"29,821.1",,"30,724.6",,"31,671.6",,"32,664.9",,65.5,,68.8,,69.7,,68.8,,67.8,,66.9,,66.7,,66.6,,66.4,,66.3,,66.2,,66.1,
Ireland,"1,701.36",,"1,766.92",,"1,774.21",,"1,818.23",,"1,913.43",,"2,082.68",,"2,115.53",,"2,146.81",,"2,176.65",,"2,205.43",,"2,233.46",,"2,260.62",,"1,716.44",,"1,767.19",,"1,757.01",,"1,792.73",,"1,890.35",,"2,075.37",,"2,110.90",,"2,144.45",,"2,176.22",,"2,206.75",,"2,236.44",,"2,265.19",,"3,417.8",,"3,534.1",,"3,531.2",,"3,611.0",,"3,803.8",,"4,158.0",,"4,226.4",,"4,291.3",,"4,352.9",,"4,412.2",,"4,469.9",,"4,525.8",,55.3,,56.3,,56.9,,57.9,,59.1,,60.5,,60.8,,61.0,,61.3,,61.6,,61.9,,62.3,
Israel,"1,876.27",,"2,043.29",,"2,254.64",,"2,699.34",,"3,052.18",,"3,347.85",,"3,423.68",,"3,507.03",,"3,594.00",,"3,678.93",,"3,757.78",,"3,829.22",,"1,869.53",,"2,040.20",,"2,245.31",,"2,632.74",,"2,962.77",,"3,256.73",,"3,331.47",,"3,413.15",,"3,498.33",,"3,582.02",,"3,660.62",,"3,732.98",,"3,745.8",,"4,083.5",,"4,499.9",,"5,332.1",,"6,015.0",,"6,604.6",,"6,755.1",,"6,920.2",,"7,092.3",,"7,260.9",,"7,418.4",,"7,562.2",,88.6,,89.8,,90.4,,90.9,,91.4,,91.7,,91.7,,91.7,,91.8,,91.8,,91.9,,91.9,
Italy,"28,950.85",,"29,201.67",,"29,261.10",,"29,373.29",,"29,406.26",,"30,187.05",,"30,360.02",,"30,527.17",,"30,682.52",,"30,819.91",,"30,934.93",,"31,024.34",,"27,270.32",,"27,570.47",,"27,571.23",,"27,594.75",,"27,580.07",,"28,484.15",,"28,722.08",,"28,968.07",,"29,208.96",,"29,428.74",,"29,615.92",,"29,764.36",,"56,221.2",,"56,772.1",,"56,832.3",,"56,968.0",,"56,986.3",,"58,671.2",,"59,082.1",,"59,495.2",,"59,891.5",,"60,248.7",,"60,550.8",,"60,788.7",,66.6,,66.8,,66.7,,66.9,,67.2,,67.6,,67.7,,67.9,,68.0,,68.2,,68.4,,68.6,
Jamaica,"1,080.81",,"1,158.21",,"1,202.61",,"1,248.36",,"1,303.58",,"1,362.30",,"1,370.43",,"1,376.97",,"1,382.37",,"1,387.26",,"1,392.15",,"1,397.13",,"1,051.58",,"1,139.03",,"1,162.30",,"1,213.16",,"1,278.07",,"1,319.35",,"1,325.91",,"1,332.07",,"1,337.92",,"1,343.51",,"1,348.91",,"1,354.14",,"2,132.4",,"2,297.2",,"2,364.9",,"2,461.5",,"2,581.6",,"2,681.7",,"2,696.3",,"2,709.0",,"2,720.3",,"2,730.8",,"2,741.1",,"2,751.3",,46.7,,48.4,,49.4,,50.6,,51.8,,52.0,,52.0,,52.0,,52.0,,52.0,,52.0,,52.1,
Japan,"58,933.49",,"61,045.34",,"62,306.91",,"63,475.17",,"64,227.97",,"64,689.66",,"64,749.58",,"64,798.62",,"64,836.93",,"64,864.67",,"64,881.76",,"64,888.26",,"56,981.20",,"58,945.21",,"59,944.28",,"61,011.58",,"61,492.34",,"61,703.28",,"61,715.21",,"61,716.87",,"61,707.71",,"61,687.04",,"61,654.17",,"61,608.98",,"115,914.7",,"119,990.5",,"122,251.2",,"124,486.7",,"125,720.3",,"126,392.9",,"126,464.8",,"126,515.5",,"126,544.6",,"126,551.7",,"126,535.9",,"126,497.2",,59.6,,60.6,,63.1,,64.6,,65.2,,66.0,,66.1,,66.3,,66.4,,66.6,,66.8,,67.0,
Jordan,"1,098.30",,"1,327.97",,"1,623.83",,"2,083.39",,"2,316.95",,"2,579.29",,"2,656.81",,"2,744.01",,"2,835.65",,"2,924.40",,"3,005.00",,"3,075.49",,"1,200.39",,"1,475.45",,"1,791.73",,"2,298.62",,"2,510.14",,"2,762.71",,"2,838.31",,"2,923.44",,"3,013.30",,"3,101.19",,"3,182.23",,"3,254.68",,"2,298.7",,"2,803.4",,"3,415.6",,"4,382.0",,"4,827.1",,"5,342.0",,"5,495.1",,"5,667.4",,"5,849.0",,"6,025.6",,"6,187.2",,"6,330.2",,59.9,,66.3,,72.2,,78.2,,78.3,,78.3,,78.3,,78.4,,78.4,,78.5,,78.5,,78.6,
Kazakhstan,"7,733.46",,"8,168.23",,"8,525.70",,"8,228.31",,"7,780.86",,"7,916.38",,"7,986.28",,"8,065.50",,"8,151.31",,"8,240.84",,"8,331.74",,"8,422.24",,"7,185.53",,"7,611.77",,"8,004.30",,"7,697.55",,"7,175.83",,"7,255.43",,"7,326.06",,"7,410.60",,"7,504.03",,"7,600.26",,"7,694.63",,"7,784.51",,"14,919.0",,"15,780.0",,"16,530.0",,"15,925.9",,"14,956.7",,"15,171.8",,"15,312.3",,"15,476.1",,"15,655.3",,"15,841.1",,"16,026.4",,"16,206.8",,54.1,,56.0,,56.3,,55.9,,56.3,,57.1,,57.3,,57.5,,57.9,,58.2,,58.5,,58.8,
Kenya,"8,166.80",,"9,864.73",,"11,766.43",,"13,762.25",,"15,672.06",,"17,830.31",,"18,291.90",,"18,763.89",,"19,249.67",,"19,753.73",,"20,278.98",,"20,826.69",,"8,100.76",,"9,790.47",,"11,680.75",,"13,663.47",,"15,581.64",,"17,784.26",,"18,249.05",,"18,721.35",,"19,205.74",,"19,708.46",,"20,233.70",,"20,783.04",,"16,267.6",,"19,655.2",,"23,447.2",,"27,425.7",,"31,253.7",,"35,614.6",,"36,540.9",,"37,485.2",,"38,455.4",,"39,462.2",,"40,512.7",,"41,609.7",,15.7,,17.0,,18.2,,19.0,,19.7,,20.7,,21.0,,21.3,,21.6,,21.9,,22.2,,22.5,
Kiribati,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,54.7,,62.6,,71.8,,77.2,,84.0,,92.0,,93.5,,95.0,,96.5,,98.0,,99.5,,101.1,,32.3,,33.5,,35.0,,36.4,,43.0,,43.6,,43.6,,43.6,,43.7,,43.8,,43.9,,44.0,
Korea (Democratic People's Rep. of),"8,849.11",,"9,576.42",,"10,272.80",,"11,087.06",,"11,675.44",,"12,102.27",,"12,170.57",,"12,233.98",,"12,293.16",,"12,348.91",,"12,401.96",,"12,452.63",,"8,390.23",,"9,144.47",,"9,870.41",,"10,683.83",,"11,218.66",,"11,643.67",,"11,711.89",,"11,774.63",,"11,833.17",,"11,889.27",,"11,944.27",,"11,998.66",,"17,239.3",,"18,720.9",,"20,143.2",,"21,770.9",,"22,894.1",,"23,745.9",,"23,882.5",,"24,008.6",,"24,126.3",,"24,238.2",,"24,346.2",,"24,451.3",,56.9,,57.6,,58.4,,59.0,,59.4,,59.8,,59.9,,60.0,,60.0,,60.1,,60.2,,60.3,
Korea (Republic of),"18,705.17",,"20,257.87",,"21,453.13",,"22,296.62",,"22,918.35",,"23,577.43",,"23,702.30",,"23,823.24",,"23,940.30",,"24,053.78",,"24,163.86",,"24,270.34",,"18,754.36",,"20,252.06",,"21,527.24",,"22,365.53",,"23,069.27",,"23,466.69",,"23,565.44",,"23,676.12",,"23,793.65",,"23,910.15",,"24,019.72",,"24,121.00",,"37,459.5",,"40,509.9",,"42,980.4",,"44,662.1",,"45,987.6",,"47,044.1",,"47,267.7",,"47,499.4",,"47,734.0",,"47,963.9",,"48,183.6",,"48,391.3",,56.7,,64.9,,73.8,,78.2,,79.6,,81.3,,81.7,,82.0,,82.3,,82.7,,83.0,,83.3,
Kuwait,588.21,,753.49,,976.47,,670.53,,795.65,,905.50,,940.14,,980.16,,"1,022.99",,"1,064.97",,"1,103.46",,"1,137.59",,788.75,,988.59,,"1,111.22",,957.39,,"1,145.14",,"1,358.51",,"1,411.30",,"1,467.66",,"1,525.37",,"1,581.32",,"1,633.27",,"1,680.46",,"1,377.0",,"1,742.1",,"2,087.7",,"1,627.9",,"1,940.8",,"2,264.0",,"2,351.4",,"2,447.8",,"2,548.4",,"2,646.3",,"2,736.7",,"2,818.0",,94.8,,97.9,,98.0,,98.1,,98.2,,98.3,,98.3,,98.3,,98.3,,98.4,,98.4,,98.4,
Kyrgyzstan,"1,868.42",,"2,062.86",,"2,245.30",,"2,332.51",,"2,510.62",,"2,549.22",,"2,570.59",,"2,599.78",,"2,634.09",,"2,669.33",,"2,702.48",,"2,732.67",,"1,759.08",,"1,950.64",,"2,149.20",,"2,259.62",,"2,444.23",,"2,493.17",,"2,513.13",,"2,539.44",,"2,570.01",,"2,601.56",,"2,631.75",,"2,659.91",,"3,627.5",,"4,013.5",,"4,394.5",,"4,592.1",,"4,954.9",,"5,042.4",,"5,083.7",,"5,139.2",,"5,204.1",,"5,270.9",,"5,334.2",,"5,392.6",,38.6,,38.4,,37.8,,36.3,,35.2,,35.1,,34.9,,34.8,,34.7,,34.6,,34.5,,34.5,
Lao People's Democratic Republic,"1,627.94",,"1,829.84",,"2,095.99",,"2,399.86",,"2,659.47",,"2,890.26",,"2,934.45",,"2,978.21",,"3,021.57",,"3,064.51",,"3,107.05",,"3,149.19",,"1,606.61",,"1,817.91",,"2,096.42",,"2,395.25",,"2,657.60",,"2,863.08",,"2,907.12",,"2,953.17",,"3,000.43",,"3,047.63",,"3,093.84",,"3,138.85",,"3,234.6",,"3,647.8",,"4,192.4",,"4,795.1",,"5,317.1",,"5,753.3",,"5,841.6",,"5,931.4",,"6,022.0",,"6,112.1",,"6,200.9",,"6,288.0",,12.4,,13.8,,15.4,,17.4,,22.0,,27.4,,28.5,,29.7,,30.9,,32.0,,33.2,,34.3,
Latvia,"1,356.95",,"1,389.58",,"1,425.62",,"1,342.88",,"1,290.10",,"1,246.18",,"1,239.24",,"1,232.95",,"1,227.16",,"1,221.66",,"1,216.27",,"1,210.94",,"1,156.40",,"1,192.43",,"1,238.29",,"1,149.22",,"1,094.87",,"1,059.35",,"1,053.84",,"1,048.74",,"1,044.04",,"1,039.72",,"1,035.79",,"1,032.20",,"2,513.3",,"2,582.0",,"2,663.9",,"2,492.1",,"2,385.0",,"2,305.5",,"2,293.1",,"2,281.7",,"2,271.2",,"2,261.4",,"2,252.1",,"2,243.1",,67.1,,68.6,,69.3,,68.8,,68.1,,68.0,,68.0,,67.9,,67.8,,67.8,,67.7,,67.7,
Lebanon,"1,412.71",,"1,472.37",,"1,517.99",,"1,763.73",,"1,914.61",,"2,072.27",,"2,095.36",,"2,114.78",,"2,131.60",,"2,147.43",,"2,163.46",,"2,180.01",,"1,381.93",,"1,413.11",,"1,430.38",,"1,699.25",,"1,827.72",,"1,980.15",,"2,002.10",,"2,020.09",,"2,035.32",,"2,049.56",,"2,064.14",,"2,079.40",,"2,794.6",,"2,885.5",,"2,948.4",,"3,463.0",,"3,742.3",,"4,052.4",,"4,097.5",,"4,134.9",,"4,166.9",,"4,197.0",,"4,227.6",,"4,259.4",,73.7,,79.4,,83.1,,84.8,,86.0,,86.6,,86.7,,86.9,,87.0,,87.1,,87.2,,87.4,
Lesotho,698.28,,791.73,,863.16,,938.87,,"1,018.02",,"1,061.60",,"1,069.63",,"1,077.90",,"1,086.44",,"1,095.21",,"1,104.19",,"1,113.44",,611.70,,695.35,,776.02,,855.66,,945.86,,"1,004.15",,"1,015.93",,"1,028.23",,"1,040.98",,"1,053.99",,"1,067.13",,"1,080.41",,"1,310.0",,"1,487.1",,"1,639.2",,"1,794.5",,"1,963.9",,"2,065.8",,"2,085.6",,"2,106.1",,"2,127.4",,"2,149.2",,"2,171.3",,"2,193.8",,11.5,,11.8,,14.0,,17.0,,20.0,,23.3,,24.0,,24.7,,25.4,,26.1,,26.9,,27.6,
Liberia,963.09,,"1,109.10",,"1,067.04",,"1,050.43",,"1,425.85",,"1,588.85",,"1,653.14",,"1,733.47",,"1,822.62",,"1,909.86",,"1,987.47",,"2,053.24",,959.45,,"1,102.41",,"1,060.06",,"1,044.16",,"1,421.44",,"1,593.69",,"1,660.58",,"1,743.73",,"1,835.84",,"1,926.07",,"2,006.65",,"2,075.33",,"1,922.5",,"2,211.5",,"2,127.1",,"2,094.6",,"2,847.3",,"3,182.5",,"3,313.7",,"3,477.2",,"3,658.5",,"3,835.9",,"3,994.1",,"4,128.6",,35.2,,39.3,,40.9,,42.6,,44.3,,46.1,,46.4,,46.7,,47.1,,47.4,,47.8,,48.2,
Libyan Arab Jamahiriya,"1,426.20",,"1,803.50",,"2,061.18",,"2,297.32",,"2,541.07",,"2,825.01",,"2,886.56",,"2,949.35",,"3,012.21",,"3,073.58",,"3,132.34",,"3,187.89",,"1,636.80",,"2,046.30",,"2,273.28",,"2,477.69",,"2,690.12",,"2,944.70",,"3,007.18",,"3,073.70",,"3,137.41",,"3,189.09",,"3,222.77",,"3,234.88",,"3,063.0",,"3,849.8",,"4,334.5",,"4,775.0",,"5,231.2",,"5,769.7",,"5,893.7",,"6,023.1",,"6,149.6",,"6,262.7",,"6,355.1",,"6,422.8",,70.1,,75.5,,75.7,,76.0,,76.4,,77.0,,77.2,,77.3,,77.5,,77.7,,77.9,,78.1,
Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25.2,,27.1,,29.0,,30.9,,32.9,,34.7,,35.0,,35.3,,35.5,,35.8,,36.0,,36.3,,18.3,,17.6,,16.9,,16.5,,15.1,,14.6,,14.6,,14.5,,14.4,,14.3,,14.3,,14.3,
Lithuania,"1,813.21",,"1,879.95",,"1,946.97",,"1,919.86",,"1,862.47",,"1,823.30",,"1,814.89",,"1,805.99",,"1,796.86",,"1,787.92",,"1,779.44",,"1,771.49",,"1,616.88",,"1,681.72",,"1,748.92",,"1,709.24",,"1,637.56",,"1,592.45",,"1,583.01",,"1,573.06",,"1,562.94",,"1,553.18",,"1,544.17",,"1,535.99",,"3,430.1",,"3,561.7",,"3,695.9",,"3,629.1",,"3,500.0",,"3,415.7",,"3,397.9",,"3,379.0",,"3,359.8",,"3,341.1",,"3,323.6",,"3,307.5",,61.2,,65.0,,67.6,,67.3,,67.0,,66.6,,66.7,,66.8,,66.9,,66.9,,67.0,,67.1,
Luxembourg,186.04,,188.41,,194.43,,207.13,,220.72,,231.42,,235.42,,240.21,,245.43,,250.55,,255.20,,259.24,,178.12,,178.31,,186.79,,200.40,,214.77,,225.77,,230.17,,235.51,,241.35,,247.08,,252.25,,256.70,,364.2,,366.7,,381.2,,407.5,,435.5,,457.2,,465.6,,475.7,,486.8,,497.6,,507.4,,515.9,,80.0,,80.7,,80.9,,82.9,,83.8,,83.9,,84.2,,84.4,,84.7,,84.9,,85.2,,85.4,
Madagascar,"4,274.91",,"4,872.54",,"5,632.40",,"6,570.82",,"7,702.33",,"8,971.88",,"9,243.24",,"9,520.65",,"9,804.03",,"10,093.25",,"10,388.28",,"10,689.07",,"4,334.06",,"4,912.02",,"5,648.22",,"6,558.41",,"7,661.94",,"8,914.09",,"9,183.63",,"9,459.74",,"9,742.26",,"10,030.90",,"10,325.54",,"10,626.06",,"8,609.0",,"9,784.6",,"11,280.6",,"13,129.2",,"15,364.3",,"17,886.0",,"18,426.9",,"18,980.4",,"19,546.3",,"20,124.2",,"20,713.8",,"21,315.1",,18.5,,20.9,,23.6,,25.8,,27.1,,28.5,,28.8,,29.1,,29.5,,29.8,,30.2,,30.6,
Malawi,"3,216.99",,"3,726.41",,"4,769.63",,"5,000.46",,"5,655.81",,"6,431.31",,"6,612.99",,"6,805.21",,"7,008.15",,"7,221.77",,"7,446.05",,"7,681.07",,"3,022.91",,"3,541.84",,"4,611.26",,"4,882.90",,"5,572.94",,"6,391.28",,"6,582.34",,"6,784.20",,"6,996.97",,"7,220.52",,"7,454.79",,"7,699.81",,"6,239.9",,"7,268.3",,"9,380.9",,"9,883.4",,"11,228.8",,"12,822.6",,"13,195.3",,"13,589.4",,"14,005.1",,"14,442.3",,"14,900.8",,"15,380.9",,9.1,,10.2,,11.6,,13.3,,15.2,,17.3,,17.8,,18.3,,18.8,,19.3,,19.8,,20.3,
Malaysia,"6,863.16",,"7,815.06",,"8,965.64",,"10,193.14",,"11,508.47",,"12,832.44",,"13,075.72",,"13,309.89",,"13,538.08",,"13,764.88",,"13,993.65",,"14,225.36",,"6,969.43",,"7,947.79",,"9,242.92",,"10,527.67",,"11,906.44",,"13,267.80",,"13,510.57",,"13,741.26",,"13,963.93",,"14,184.52",,"14,407.37",,"14,633.79",,"13,832.6",,"15,762.9",,"18,208.6",,"20,720.8",,"23,414.9",,"26,100.2",,"26,586.3",,"27,051.1",,"27,502.0",,"27,949.4",,"28,401.0",,"28,859.2",,42.0,,45.9,,49.8,,55.7,,62.0,,67.6,,68.6,,69.6,,70.5,,71.3,,72.2,,73.0,
Maldives,73.84,,88.61,,106.01,,121.87,,133.97,,145.81,,148.03,,150.19,,152.32,,154.45,,156.61,,158.81,,82.79,,98.11,,113.46,,126.84,,139.26,,149.43,,151.39,,153.35,,155.32,,157.29,,159.28,,161.27,,156.6,,186.7,,219.5,,248.7,,273.2,,295.2,,299.4,,303.5,,307.6,,311.7,,315.9,,320.1,,22.3,,25.5,,25.8,,25.6,,27.7,,33.8,,35.0,,36.3,,37.6,,38.9,,40.1,,41.3,
Mali,"3,639.44",,"4,032.63",,"4,396.12",,"4,969.15",,"5,694.19",,"6,617.72",,"6,821.45",,"7,030.81",,"7,245.62",,"7,465.73",,"7,691.03",,"7,921.35",,"3,606.15",,"3,977.07",,"4,276.75",,"4,855.36",,"5,601.14",,"6,558.92",,"6,771.35",,"6,989.97",,"7,214.37",,"7,444.09",,"7,678.78",,"7,918.19",,"7,245.6",,"8,009.7",,"8,672.9",,"9,824.5",,"11,295.3",,"13,176.6",,"13,592.8",,"14,020.8",,"14,460.0",,"14,909.8",,"15,369.8",,"15,839.5",,18.5,,21.0,,23.3,,25.5,,28.3,,32.0,,32.8,,33.5,,34.3,,35.1,,35.9,,36.6,
Malta,167.87,,177.54,,186.17,,195.08,,200.29,,206.37,,207.27,,208.01,,208.65,,209.26,,209.88,,210.52,,158.84,,171.60,,181.35,,191.50,,197.13,,202.92,,203.82,,204.60,,205.29,,205.96,,206.64,,207.34,,326.7,,349.1,,367.5,,386.6,,397.4,,409.3,,411.1,,412.6,,413.9,,415.2,,416.5,,417.9,,89.8,,89.8,,90.4,,90.9,,92.4,,93.6,,93.9,,94.1,,94.3,,94.5,,94.7,,94.8,
Marshall Islands,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,30.6,,38.3,,47.3,,51.0,,52.1,,52.0,,52.2,,52.5,,52.9,,53.4,,54.0,,54.8,,58.3,,61.9,,65.1,,66.7,,68.4,,70.0,,70.4,,70.7,,71.1,,71.4,,71.8,,72.1,
Mauritania,763.19,,878.30,,"1,002.41",,"1,149.71",,"1,321.32",,"1,518.59",,"1,559.05",,"1,599.57",,"1,640.11",,"1,680.64",,"1,721.15",,"1,761.58",,754.63,,869.54,,993.14,,"1,142.34",,"1,321.42",,"1,528.66",,"1,570.91",,"1,613.10",,"1,655.15",,"1,697.00",,"1,738.63",,"1,779.96",,"1,517.8",,"1,747.8",,"1,995.5",,"2,292.1",,"2,642.7",,"3,047.2",,"3,130.0",,"3,212.7",,"3,295.3",,"3,377.6",,"3,459.8",,"3,541.5",,27.4,,35.0,,39.7,,39.8,,40.0,,40.4,,40.6,,40.7,,40.9,,41.2,,41.4,,41.7,
Mauritius,488.70,,510.91,,531.00,,569.93,,602.63,,634.45,,639.74,,644.57,,649.04,,653.30,,657.45,,661.52,,475.32,,503.54,,528.55,,567.17,,593.40,,622.29,,626.95,,631.08,,634.81,,638.31,,641.72,,645.07,,964.0,,"1,014.5",,"1,059.5",,"1,137.1",,"1,196.0",,"1,256.7",,"1,266.7",,"1,275.7",,"1,283.8",,"1,291.6",,"1,299.2",,"1,306.6",,42.4,,42.3,,43.9,,43.3,,42.7,,42.2,,42.1,,42.0,,41.9,,41.9,,41.8,,41.9,g
Mexico,"34,507.69",,"38,333.46",,"42,476.21",,"46,558.85",,"50,466.68",,"53,916.57",,"54,622.99",,"55,341.52",,"56,065.39",,"56,784.18",,"57,490.01",,"58,180.99",,"34,268.72",,"37,841.70",,"41,830.40",,"45,713.90",,"49,492.91",,"52,567.19",,"53,212.27",,"53,879.23",,"54,561.77",,"55,249.19",,"55,933.04",,"56,612.35",,"68,776.4",,"76,175.2",,"84,306.6",,"92,272.7",,"99,959.6",,"106,483.8",,"107,835.3",,"109,220.8",,"110,627.2",,"112,033.4",,"113,423.0",,"114,793.3",,66.3,,69.0,,71.4,,73.4,,74.7,,76.3,,76.6,,76.9,,77.2,,77.5,,77.8,,78.1,
Micronesia (Federated States of),35.67,,41.82,,47.05,,52.42,,52.89,,53.84,,53.97,,54.08,,54.17,,54.28,,54.43,,54.63,,37.29,,43.87,,49.27,,54.81,,54.22,,55.58,,55.82,,56.02,,56.20,,56.40,,56.63,,56.92,,73.0,,85.7,,96.3,,107.2,,107.1,,109.4,,109.8,,110.1,,110.4,,110.7,,111.1,,111.5,,26.4,,26.1,,25.8,,25.1,,22.3,,22.3,,22.4,,22.4,,22.5,,22.6,,22.7,,22.8,
Moldova (Republic of),"2,114.22",,"2,213.76",,"2,284.06",,"2,266.15",,"2,146.24",,"1,976.34",,"1,950.21",,"1,928.20",,"1,909.56",,"1,893.02",,"1,877.60",,"1,863.16",,"1,895.78",,"2,001.24",,"2,079.89",,"2,072.60",,"1,960.50",,"1,790.54",,"1,764.75",,"1,743.34",,"1,725.50",,"1,709.84",,"1,695.29",,"1,681.71",,"4,010.0",,"4,215.0",,"4,364.0",,"4,338.8",,"4,106.7",,"3,766.9",,"3,715.0",,"3,671.5",,"3,635.1",,"3,602.9",,"3,572.9",,"3,544.9",,40.4,,44.2,,46.8,,46.3,,44.6,,43.2,,43.9,,44.7,,45.4,,46.2,,47.0,,47.7,
Monaco,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,26.1,,28.5,,30.9,,33.0,,35.1,,35.3,,35.3,,35.3,,35.3,,35.4,,35.4,,35.4,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,
Mongolia,857.98,,975.65,,"1,110.09",,"1,164.77",,"1,217.05",,"1,288.29",,"1,307.30",,"1,328.03",,"1,350.01",,"1,372.60",,"1,395.28",,"1,417.87",,835.14,,950.35,,"1,082.47",,"1,141.36",,"1,194.32",,"1,259.05",,"1,276.84",,"1,296.48",,"1,317.46",,"1,339.06",,"1,360.72",,"1,382.25",,"1,693.1",,"1,926.0",,"2,192.6",,"2,306.1",,"2,411.4",,"2,547.3",,"2,584.1",,"2,624.5",,"2,667.5",,"2,711.7",,"2,756.0",,"2,800.1",,52.1,,55.0,,57.0,,56.8,,56.9,,59.5,,60.0,,60.5,,61.0,,61.5,,62.0,,62.5,
Montenegro,290.45,,289.93,,305.91,,319.87,,318.42,,319.29,,319.71,,320.19,,320.70,,321.19,,321.63,,321.99,,285.62,,286.07,,302.91,,323.36,,314.18,,307.45,,307.36,,307.77,,308.48,,309.24,,309.86,,310.27,,576.1,,576.0,,608.8,,643.2,,632.6,,626.7,,627.1,,628.0,,629.2,,630.4,,631.5,,632.3,,36.8,,42.3,,48.0,,53.4,,58.5,,61.8,,61.7,,61.6,,61.5,,61.5,,61.5,,61.5,
Morocco,"9,780.71",,"11,150.77",,"12,420.49",,"13,534.01",,"14,536.85",,"15,413.90",,"15,585.84",,"15,758.08",,"15,931.25",,"16,105.96",,"16,282.48",,"16,461.20",,"9,786.22",,"11,140.29",,"12,360.61",,"13,394.59",,"14,256.39",,"14,978.58",,"15,116.24",,"15,253.12",,"15,390.20",,"15,528.57",,"15,668.93",,"15,811.78",,"19,566.9",,"22,291.1",,"24,781.1",,"26,928.6",,"28,793.2",,"30,392.5",,"30,702.1",,"31,011.2",,"31,321.5",,"31,634.5",,"31,951.4",,"32,273.0",,41.2,,44.8,,48.4,,51.7,,53.3,,55.2,,55.8,,56.4,,57.0,,57.6,,58.2,,58.8,
