Country,Environmental_Performance_Index,IHDI_Inequality_adjusted_HDI_value,GII_Gender_Inequality_Index_value,GNI_Gross_National_Income,SUM,Overall_loss_percent
Finland,74.7,0.833,0.075,"32,438",32513.608,5.555555556
France,78.2,0.804,0.106,"30,462",30541.11,9.049773756
Gabon,56.4,0.543,0.509,"12,249",12306.452,19.43620178
Gambia,50.3,..,0.61,"1,282",1332.91,..
Georgia,63.6,0.63,0.418,"4,780",4844.648,14.05184175
Germany,73.2,0.842,0.085,"34,854",34928.127,6.961325967
Ghana,51.3,0.367,0.598,"1,584",1636.265,32.16266174
Greece,60.9,0.756,0.162,"23,747",23808.818,12.19512195
Grenada,..,..,..,"6,982",6982,..
Guatemala,54,0.393,0.542,"4,167",4221.935,31.53310105
Guinea,44.4,0.211,..,863,907.611,38.6627907
Guinea-Bissau,44.7,0.207,..,994,1038.907,41.35977337
Guyana,59.2,0.492,0.511,"3,192",3252.203,22.27488152
Haiti,39.5,0.271,0.599,"1,123",1163.37,40.30837004
Honduras,49.9,0.427,0.511,"3,443",3493.838,31.68
Hong Kong,..,..,..,"44,805",44805,..
Hungary,69.1,0.759,0.237,"16,581",16651.096,6.985294118
Iceland,93.5,0.845,0.099,"29,354",29448.444,5.902004454
India,48.3,0.392,0.617,"3,468",3517.309,28.33638026
Indonesia,44.6,0.504,0.505,"3,716",3761.609,18.31442464
Iran,60,..,0.485,"10,164",10224.485,..
Iraq,41,..,0.579,"3,177",3218.579,..
Ireland,67.1,0.843,0.203,"29,322",29390.146,7.158590308
Israel,62.4,0.779,0.145,"25,849",25912.324,12.27477477
Italy,73.1,0.779,0.124,"26,484",26558.003,10.86956522
Jamaica,58,0.61,0.45,"6,487",6546.06,16.09353508
Japan,72.5,..,0.123,"32,295",32367.623,..
Jordan,56.1,0.565,0.456,"5,300",5357.121,19.05444126
Kazakhstan,57.3,0.656,0.334,"10,585",10643.29,11.94630872
Kenya,51.4,0.338,0.627,"1,492",1544.365,33.59528487
Kiribati,..,..,..,"3,140",3140,..
North Korea,41.8,..,..,..,41.8,..
South Korea,57,0.749,0.111,"28,230",28287.86,16.49944259
Kuwait,51.1,..,0.229,"47,926",47977.329,..
Kyrgyzstan,59.7,0.526,0.37,"2,036",2096.596,14.47154472
Laos,59.6,0.405,0.513,"2,242",2302.518,22.70992366
Latvia,72.5,0.717,0.216,"14,293",14366.433,10.93167702
Lebanon,57.9,0.57,0.44,"13,076",13134.91,22.86874154
Lesotho,..,0.288,0.532,"1,664",1664.82,36
Liberia,..,0.213,0.671,265,265.884,35.25835866
Libya,50.1,..,0.314,"12,637",12687.414,..
Liechtenstein,..,..,..,"83,717",83717,..
Lithuania,68.3,0.73,0.192,"16,234",16303.222,9.87654321
Luxembourg,67.8,0.799,0.169,"50,557",50625.768,7.843137255
Madagascar,49.2,0.332,..,824,873.532,30.83333333
Malawi,51.4,0.272,0.594,753,805.266,32
Malaysia,65,..,0.286,"13,685",13750.286,..
Maldives,65.9,0.495,0.32,"5,276",5342.715,25.11346445
Mali,39.4,..,0.712,"1,123",1163.112,..
Malta,76.3,..,0.272,"21,460",21536.572,..
Marshall Islands,..,..,..,..,0,..
Mauritania,33.7,0.298,0.605,"1,859",1893.603,34.21633554
Mauritius,80.6,0.631,0.353,"12,918",12999.584,13.32417582
Mexico,67.3,0.589,0.448,"13,245",13313.337,23.50649351
Micronesia,..,0.39,..,"2,935",2935.39,38.67924528
Moldova,58.8,0.569,0.298,"3,058",3117.667,12.32665639
Monaco,..,..,..,..,0,..
Mongolia,42.8,0.563,0.41,"3,391",3434.773,13.78254211
Montenegro,..,0.718,..,"10,361",10361.718,6.874189364
Morocco,65.6,0.409,0.51,"4,196",4262.519,29.72508591
Mozambique,51.2,0.229,0.602,898,950.031,28.88198758
Myanmar,51.3,..,0.492,"1,535",1586.792,..
Namibia,59.3,0.353,0.466,"6,206",6266.119,43.52
Nauru,..,..,..,..,0,..
Nepal,68.2,0.301,0.558,"1,160",1229.059,34.27947598
Netherlands,66.4,0.846,0.052,"36,402",36469.298,7.032967033
New Zealand,73.4,..,0.195,"23,737",23810.595,..
Nicaragua,57.1,0.427,0.506,"2,430",2488.033,27.50424448
Niger,37.6,0.195,0.724,641,679.519,33.89830508
Nigeria,40.2,0.278,..,"2,069",2109.478,39.4335512
Norway,81.1,0.89,0.075,"47,557",47639.065,5.620360551
Palestine,..,..,..,"2,656",2656,..
Oman,45.9,..,0.309,"22,841",22887.209,..
Pakistan,48,0.346,0.573,"2,550",2598.919,31.34920635
Palau,..,..,..,"9,744",9744,..
Panama,71.4,0.579,0.492,"12,335",12407.471,24.609375
Papua New Guinea,44.3,..,0.674,"2,271",2315.974,..
Paraguay,63.5,0.505,0.476,"4,727",4791.481,24.06015038
Peru,69.3,0.557,0.415,"8,389",8459.272,23.17241379
Philippines,65.7,0.516,0.427,"3,478",3544.643,19.8757764
Poland,63.1,0.734,0.164,"17,451",17514.998,9.717097171
Portugal,73,0.726,0.14,"20,573",20646.866,10.25957973
Qatar,48.9,..,0.549,"107,721",107770.449,..
Romania,67,0.683,0.333,"11,046",11114.016,12.54801536
Russian Federation,61.2,0.67,0.338,"14,561",14623.208,11.25827815
Rwanda,44.6,0.276,0.453,"1,133",1178.329,35.66433566
St Kitts & Nevis,..,..,..,"11,897",11897,..
St Lucia,..,..,..,"8,273",8273,..
St Vincent & Grenadines,..,..,..,"8,013",8013,..
Samoa,..,..,..,"3,931",3931,..
San Marino,..,..,..,..,0,..
Sao Tome & Principe,57.3,0.348,..,"1,792",1849.648,31.63064833
Saudi Arabia,55.3,..,0.646,"23,274",23329.946,..
Senegal,42.3,0.304,0.566,"1,708",1751.17,33.76906318
Serbia,..,0.694,..,"10,236",10236.694,9.399477807
Seychelles,..,..,..,"16,729",16729,..
Sierra Leone,32.1,0.196,0.662,737,769.958,41.66666667
Singapore,69.6,..,0.086,"52,569",52638.686,..
Slovakia,74.5,0.787,0.194,"19,998",20073.481,5.635491607
Slovenia,65,0.837,0.175,"24,914",24980.012,5.316742081
Solomon Islands,51.1,..,..,"1,782",1833.1,..
Somalia,..,..,..,..,0,..
South Africa,50.8,..,0.49,"9,469",9520.29,..
Spain,70.6,0.799,0.117,"26,508",26579.516,8.997722096
Sri Lanka,63.7,0.579,0.419,"4,943",5007.698,16.20839363
Sudan,47.1,..,0.611,"1,894",1941.711,..
Suriname,68.2,0.518,..,"7,538",7606.718,23.82352941
Swaziland,54.4,0.338,0.546,"4,484",4539.284,35.24904215
Sweden,86,0.851,0.049,"35,837",35923.9,5.862831858
Switzerland,89.1,0.84,0.067,"39,924",40014.007,6.976744186
Syria,64.6,0.503,0.474,"4,243",4308.577,20.41139241
Tajikistan,51.3,0.5,0.347,"1,937",1989.147,17.6276771
Tanzania,47.9,0.332,0.59,"1,328",1376.822,28.75536481
Thailand,62.2,0.537,0.382,"7,694",7757.119,21.26099707
Macedonia,60.6,0.609,0.151,"8,804",8865.36,16.34615385
Timor-Leste,..,0.332,..,"3,005",3005.332,32.92929293
Togo,36.4,0.289,0.602,798,835.291,33.56321839
Tonga,..,..,..,"4,186",4186,..
Trinidad & Tobago,54.2,0.644,0.331,"23,439",23494.175,15.26315789
Tunisia,60.6,0.523,0.293,"7,281",7342.416,25.07163324
Turkey,60.4,0.542,0.443,"12,246",12307.385,22.46065808
Turkmenistan,38.4,..,..,"7,306",7344.4,..
Tuvalu,..,..,..,..,0,..
Uganda,49.8,0.296,0.577,"1,124",1174.673,33.632287
Ukraine,58.2,0.662,0.335,"6,175",6234.197,9.190672154
United Arab Emirates,40.7,..,0.234,"59,993",60033.934,..
United Kingdom,74.2,0.791,0.209,"33,296",33371.2,8.342989571
United States,63.5,0.771,0.299,"43,017",43081.57,15.27472527
Uruguay,59.1,0.654,0.352,"13,242",13302.106,16.47509579
Uzbekistan,42.3,0.544,..,"2,967",3009.844,15.1326053
Vanuatu,..,..,..,"3,950",3950,..
Venezuela,62.9,0.54,0.447,"10,656",10719.887,26.53061224
Viet Nam,59,0.51,0.305,"2,805",2864.815,13.99662732
Yemen,48.3,0.312,0.769,"2,213",2262.381,32.46753247
Zambia,47,0.303,0.627,"1,254",1301.93,29.53488372
Zimbabwe,47.8,0.268,0.583,376,424.651,28.72340426
