,HDI: GDP per capita in PPP terms (constant 2005 international $),,,,,,,,,,,,,,,,,,,,,,HDI: GNI per capita in PPP terms (constant 2005 international $),,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,
Country,,,,,,,,,,,,,,,,,,,,,,,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),
Chad,643,,868,,807,,761,,734,,"1,342",,"1,305",,"1,271",,"1,232",,"1,181",,..,,641,,855,,810,,745,,728,,"1,080",,"1,051",,"1,052",,994,,"1,062",,"1,105",
Chile,"5,366",,"5,178",,"6,583",,"9,140",,"10,470",,"12,172",,"12,599",,"13,045",,"13,390",,"13,057",,..,,"5,174",,"4,541",,"6,233",,"8,793",,"10,078",,"11,090",,"11,018",,"11,569",,"12,392",,"12,251",,"13,329",
China,524,,814,,"1,101",,"1,849",,"2,667",,"4,115",,"4,611",,"5,239",,"5,712",,"6,200",,..,,530,,803,,"1,115",,"1,802",,"2,642",,"4,130",,"4,623",,"5,271",,"5,738",,"6,247",,"7,476",
Colombia,"5,295",,"5,304",,"6,098",,"6,800",,"6,617",,"7,305",,"7,675",,"8,084",,"8,185",,"8,136",,..,,"5,242",,"5,036",,"5,801",,"6,685",,"6,457",,"7,030",,"7,384",,"7,773",,"7,837",,"7,803",,"8,315",
Comoros,"1,183",,"1,280",,"1,215",,"1,129",,"1,093",,"1,127",,"1,117",,"1,096",,"1,081",,"1,074",,..,,..,,"1,284",,"1,213",,"1,125",,"1,092",,"1,120",,"1,115",,"1,093",,"1,077",,"1,075",,"1,079",
Congo,"2,924",,"4,078",,"3,472",,"3,121",,"3,223",,"3,497",,"3,637",,"3,514",,"3,644",,"3,848",,..,,"2,649",,"3,818",,"2,878",,"1,804",,"2,273",,"2,320",,"2,413",,"2,416",,"2,702",,"2,760",,"3,066",
Congo (Democratic Republic of the),774,,734,,621,,351,,254,,266,,272,,281,,290,,290,,..,,739,,680,,542,,284,,214,,250,,256,,258,,247,,260,,280,
Costa Rica,"6,363",,"5,539",,"6,223",,"7,207",,"8,113",,"9,002",,"9,642",,"10,247",,"10,374",,"10,085",,..,,"6,070",,"5,213",,"6,013",,"7,071",,"7,467",,"8,650",,"9,327",,"9,933",,"10,116",,"9,917",,"10,497",
Croatia,..,,..,,"13,384",,"9,923",,"12,368",,"15,329",,"16,093",,"16,922",,"17,336",,"16,338",,..,,..,,..,,..,,"9,912",,"12,108",,"14,920",,"15,632",,"16,498",,"16,743",,"15,703",,"15,729",
Cuba,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"4,102",,"3,862",,"2,597",,"3,197",,"4,068",,"4,571",,"4,878",,"5,085",,"5,155",,"5,416",c
Cyprus,"11,184",,"13,855",,"18,095",,"20,104",,"22,737",,"24,403",,"24,929",,"25,657",,"26,268",,"25,759",,..,,..,,"13,893",,"18,401",,"19,648",,"21,255",,"23,390",,"23,749",,"23,760",,"24,564",,"25,300",,"24,841",
Czech Republic,..,,..,,"16,320",,"15,599",,"16,886",,"20,362",,"21,678",,"22,862",,"23,223",,"22,098",,..,,..,,..,,..,,"15,570",,"16,499",,"19,450",,"20,598",,"21,264",,"21,570",,"20,682",,"21,405",
