,Carbon Dioxide Emissions per capita,,,,,,,,,,,,,,,,,,,,,,Carbon dioxide per capita emission (growth 1970-2008),,,,,,,,,,,,,,,,,,,,,,Change in forest area,,,,,,,,,,,,,,,,,,,,,,Ecological footprint of consumption,,,,,,,,,,,,,,,,,,,,,,Endangered species,,,,,,,,,,,,,,,,,,,,,,Environmental performance index (EPI),,,,,,,,,,,,,,,,,,,,,,Forest area,,,,,,,,,,,,,,,,,,,,,,Forest area (% of total land area),,,,,,,,,,,,,,,,,,,,,,Fresh water withdrawals,,,,,,,,,,,,,,,,,,,,,,Greenhouse gases per capita,,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: number of deaths (average per year/million),,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: population affected (average per year/million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,..,,..,,39.3,,32.3,,31.7,,36.4,,9.2,,8.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.7,,-1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21.3,,..,,..,,..,,..,,..,,..,,..,,..,,7.2,,8.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,69.2,,..,,..,,..,,466,,486,,534,,536,,538,,540,,..,,..,,..,,..,,..,,11.0,,11.5,,12.6,,12.6,,12.7,,12.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.3,,..,,..,,..,,10.8,,..,,..,,0.0,,0.0,,2.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,..,,..,,2.5,,2.0,,2.2,,2.2,,0.6,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.0,,-0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,60.5,,..,,..,,..,,6,,6,,6,,6,,6,,6,,..,,..,,..,,..,,..,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,f,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,..,,..,,4.3,,5.5,,6.1,,6.4,,1.7,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.5,,4.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-9.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,49,,47,,46,,46,,46,,45,,..,,..,,..,,..,,..,,64.9,,63.1,,61.3,,60.9,,60.7,,60.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,..,,..,,7.4,,8.4,,7.7,,7.8,,2.2,,2.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.8,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,43.3,,..,,..,,..,,..,,..,,..,,..,,..,,1.4,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17,,..,,..,,..,,..,,..,,..,,..,,..,,..,,68.4,,..,,..,,..,,"1,376",,"1,376",,"1,376",,"1,376",,"1,376",,"1,972",,..,,..,,..,,..,,..,,28.5,,28.5,,28.5,,28.5,,28.5,,40.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,..,,..,,7.4,,6.4,,8.6,,8.7,,2.2,,2.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.4,,2.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-25.7,,..,,..,,..,,..,,..,,..,,..,,..,,1.9,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12,,..,,..,,..,,..,,..,,..,,..,,..,,..,,69.3,,..,,..,,..,,"12,829",,"11,841",,"10,853",,"10,655",,"10,458",,"10,260",,..,,..,,..,,..,,..,,46.3,,47.7,,43.7,,42.9,,42.1,,41.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,..,,..,,5.8,,7.8,,8.7,,8.2,,2.5,,2.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.1,,3.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,56.4,,..,,..,,..,,..,,..,,..,,..,,..,,1.4,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,..,,..,,62.0,,..,,..,,..,,52,,59,,67,,68,,68,,69,,..,,..,,..,,..,,..,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,f,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,..,,..,,3.4,,3.4,,3.5,,3.5,,1.0,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.7,,2.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-21.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,69.1,,..,,..,,..,,355,,332,,309,,305,,300,,296,,..,,..,,..,,..,,..,,17.1,,16.0,,14.9,,14.7,,14.5,,14.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,..,,..,,1.2,,2.3,,32.9,,32.2,,9.5,,7.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,229.7,,11.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-11.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,41.9,,..,,..,,..,,"1,802",,"1,743",,"1,685",,"1,673",,"1,661",,"1,650",,..,,..,,..,,..,,..,,64.2,,62.1,,60.1,,59.7,,59.2,,58.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,..,,..,,0.3,,0.6,,0.6,,0.4,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.8,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,54.6,,..,,..,,..,,"1,599",,"1,576",,"1,554",,"1,550",,"1,545",,"1,541",,..,,..,,..,,..,,..,,15.8,,15.6,,15.4,,15.3,,15.3,,15.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.2,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,..,,..,,46.4,,42.8,,49.7,,48.0,,15.3,,13.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.4,,7.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,63.8,,..,,..,,..,,"2,167",,"2,243",,"2,252",,"2,245",,"2,238",,"2,231",,..,,..,,..,,..,,..,,51.1,,52.9,,53.1,,53.0,,52.8,,52.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14.0,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,..,,..,,0.1,,0.3,,0.3,,0.3,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.7,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,43.1,,..,,..,,..,,"14,410",,"13,705",,"13,000",,"12,859",,"12,718",,"12,578",,..,,..,,..,,..,,..,,14.4,,13.7,,13.0,,12.9,,12.7,,12.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,..,,..,,4.2,,3.9,,7.4,,7.1,,1.8,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.1,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.7,,..,,..,,..,,..,,..,,..,,..,,..,,3.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15,,..,,..,,..,,..,,..,,..,,..,,..,,..,,65.9,,..,,..,,..,,967,,980,,997,,"1,001",,"1,004",,"1,007",,..,,..,,..,,..,,..,,52.9,,53.7,,54.6,,54.8,,55.0,,55.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,..,,..,,37.7,,37.0,,38.3,,46.5,,12.2,,10.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.1,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,5.5,,6.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,74.7,,..,,..,,..,,"22,174",,"22,459",,"22,157",,"22,157",,"22,157",,"22,157",,..,,..,,..,,..,,..,,72.8,,73.7,,72.7,,72.9,,72.9,,72.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.5,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,3.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,..,,..,,24.8,,22.7,,23.7,,22.9,,6.0,,6.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.8,,-0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.1,,..,,..,,..,,..,,..,,..,,..,,..,,4.6,,5.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14,,..,,..,,..,,..,,..,,..,,..,,..,,..,,78.2,,..,,..,,..,,"14,945",,"15,353",,"15,714",,"15,762",,"15,810",,"15,858",,..,,..,,..,,..,,..,,27.3,,28.0,,28.7,,28.8,,28.9,,29.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.0,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,34,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,..,,..,,13.4,,3.8,,5.3,,5.8,,1.4,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.8,,-2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,56.4,,..,,..,,..,,"22,000",,"22,000",,"22,000",,"22,000",,"22,000",,"22,000",,..,,..,,..,,..,,..,,85.4,,85.4,,85.4,,85.4,,85.4,,85.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,6.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,..,,..,,0.7,,0.7,,0.7,,0.7,,0.3,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.6,,2.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.8,,..,,..,,..,,..,,..,,..,,..,,..,,1.1,,3.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,50.3,,..,,..,,..,,452,,461,,471,,473,,475,,476,,..,,..,,..,,..,,..,,45.2,,46.1,,47.1,,47.3,,47.5,,47.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,..,,..,,1.7,,3.5,,3.9,,4.6,,1.4,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,63.6,,..,,..,,..,,"2,774",,"2,768",,"2,755",,"2,753",,"2,750",,"2,747",,..,,..,,..,,..,,..,,39.9,,39.8,,39.6,,39.6,,39.6,,39.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.6,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,g,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,..,,..,,40.2,,36.9,,35.7,,35.7,,9.6,,9.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,4.0,,5.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,73.2,,..,,..,,..,,"10,909",,"11,076",,"11,076",,"11,076",,"11,076",,"11,076",,..,,..,,..,,..,,..,,31.2,,31.7,,31.8,,31.8,,31.8,,31.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21.0,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,..,,..,,1.1,,1.1,,1.2,,1.5,,0.4,,0.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.4,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-30.6,,..,,..,,..,,..,,..,,..,,..,,..,,1.6,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,51.3,,..,,..,,..,,"6,771",,"6,094",,"5,517",,"5,402",,"5,286",,"5,171",,..,,..,,..,,..,,..,,29.8,,26.8,,24.2,,23.7,,23.2,,22.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,..,,..,,27.2,,30.8,,32.7,,31.8,,8.8,,8.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.9,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.5,,..,,..,,..,,..,,..,,..,,..,,..,,5.8,,5.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16,,..,,..,,..,,..,,..,,..,,..,,..,,..,,60.9,,..,,..,,..,,"3,450",,"3,601",,"3,752",,"3,782",,"3,812",,"3,843",,..,,..,,..,,..,,..,,26.8,,27.9,,29.1,,29.3,,29.6,,29.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.7,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,..,,..,,6.4,,7.5,,8.2,,8.4,,2.3,,2.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.3,,4.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17,,17,,17,,17,,17,,17,,..,,..,,..,,..,,..,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,38,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,..,,..,,2.6,,3.2,,3.4,,3.3,,1.0,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.2,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-20.6,,..,,..,,..,,..,,..,,..,,..,,..,,1.7,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,54.0,,..,,..,,..,,"4,478",,"4,208",,"3,938",,"3,882",,"3,826",,"3,769",,..,,..,,..,,..,,..,,41.8,,39.3,,36.7,,36.2,,35.7,,35.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,..,,..,,0.6,,0.6,,0.6,,0.5,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.9,,-0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-8.9,,..,,..,,..,,..,,..,,..,,..,,..,,1.5,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.4,,..,,..,,..,,"7,084",,"6,904",,"6,724",,"6,688",,"6,652",,"6,616",,..,,..,,..,,..,,..,,28.8,,28.1,,27.4,,27.2,,27.1,,26.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,..,,..,,0.9,,0.7,,0.6,,0.6,,0.2,,0.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.4,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-7.9,,..,,..,,..,,..,,..,,..,,..,,..,,1.0,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.7,,..,,..,,..,,"2,168",,"2,120",,"2,072",,"2,062",,"2,052",,"2,042",,..,,..,,..,,..,,..,,77.1,,75.4,,73.7,,73.3,,73.0,,72.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,..,,..,,7.4,,7.9,,7.4,,7.5,,2.0,,2.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.3,,-0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,59.2,,..,,..,,..,,"15,205",,"15,205",,"15,205",,"15,205",,"15,205",,"15,205",,..,,..,,..,,..,,..,,77.2,,77.2,,77.2,,77.2,,77.2,,77.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,..,,..,,0.4,,0.6,,0.7,,0.7,,0.3,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.1,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-11.6,,..,,..,,..,,..,,..,,..,,..,,..,,0.5,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19,,..,,..,,..,,..,,..,,..,,..,,..,,..,,39.5,,..,,..,,..,,113,,109,,105,,104,,103,,103,,..,,..,,..,,..,,..,,4.1,,4.0,,3.8,,3.8,,3.8,,3.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,66,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,..,,..,,2.6,,3.0,,4.2,,3.8,,1.2,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.1,,2.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-33.2,,..,,..,,..,,..,,..,,..,,..,,..,,2.2,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,49.9,,..,,..,,..,,"7,264",,"6,392",,"5,792",,"5,672",,"5,552",,"5,432",,..,,..,,..,,..,,..,,64.9,,57.1,,51.8,,50.7,,49.6,,48.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong, China (SAR)",..,,..,,18.7,,22.3,,21.4,,20.1,,5.8,,5.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.6,,2.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
